sim,Ap,ns,z,dX_per_sightline,dndx_LLS,sigma_LLS,dndx_subDLA,sigma_subDLA,dndx_DLA,sigma_DLA,in_fiducial
ns0.901Ap1.22e-09herei3.93heref2.87alphaq1.68hub0.712omegamh20.146hireionz6.97bhfeedback0.068,1.22e-09,0.901,3.0,0.640443062780452,0.2839830900976562,0.0008073326852988681,0.07869443590621382,0.0004259653543892314,0.03878020958783938,0.0003007832625579857,False
ns0.873Ap1.26e-09herei3.96heref2.24alphaq2.56hub0.688omegamh20.143hireionz7.69bhfeedback0.0583,1.26e-09,0.873,3.0,0.6404430627804519,0.28454106247303906,0.0008083530743331931,0.07752201621866862,0.00042343559590587873,0.03877569159289702,0.0003005974222819792,False
ns0.914Ap1.27e-09herei3.97heref3.19alphaq2.27hub0.742omegamh20.142hireionz7.42bhfeedback0.0493,1.27e-09,0.914,3.0,0.6404430627804519,0.261277906514772,0.0007744349279370439,0.07495127709645966,0.00041732427382890145,0.03719891135800962,0.0002949416722266355,False
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,1.29e-09,0.859,3.0,0.6404430627804519,0.27773018509741515,0.0007996151827565275,0.07498290306105626,0.00041594422704998153,0.036817140785379295,0.00029302366243091617,False
ns0.868Ap1.32e-09herei4.03heref3.05alphaq1.83hub0.675omegamh20.141hireionz6.88bhfeedback0.04,1.32e-09,0.868,3.0,0.6404430627804519,0.2820290572850809,0.0008061642452880365,0.07863796096943419,0.00042681221374047144,0.038829907532205464,0.0003011978496481173,False
ns0.914Ap1.32e-09herei3.85heref2.65alphaq1.58hub0.742omegamh20.142hireionz6.88bhfeedback0.04,1.32e-09,0.914,3.0,0.6404430627804519,0.2783559273969335,0.0008005411374839835,0.07838043525771907,0.0004255757237696603,0.03834422307590061,0.00030002335588024363,False
ns0.842Ap1.36e-09herei3.51heref2.85alphaq2hub0.658omegamh20.14hireionz6.72bhfeedback0.0453,1.36e-09,0.842,3.0,0.6404430627804519,0.29283836018470294,0.0008206294207814078,0.07886386071655273,0.0004271582842583135,0.03888412347151391,0.00030101825093638724,False
ns0.935Ap1.37e-09herei4.38heref2.74alphaq2.69hub0.713omegamh20.142hireionz7.06bhfeedback0.055,1.37e-09,0.935,3.0,0.6404430627804518,0.30708811623294036,0.0008397837807136024,0.08706176253948449,0.0004469456005078701,0.04291643395757982,0.0003166455238966011,False
ns0.862Ap1.41e-09herei3.89heref3.03alphaq1.98hub0.718omegamh20.142hireionz7.78bhfeedback0.032,1.41e-09,0.862,3.0,0.640443062780452,0.2867006640554922,0.0008125097092306528,0.08100313132176527,0.00043306705293970967,0.03949857078367633,0.0003042418887980562,False
ns0.966Ap1.46e-09herei3.55heref2.73alphaq1.65hub0.702omegamh20.142hireionz7.62bhfeedback0.0693,1.46e-09,0.966,3.0,0.640443062780452,0.32476251244749466,0.0008622462361787146,0.09230489567010572,0.0004613087459541075,0.04566111588507004,0.0003263132165245654,True
ns0.838Ap1.48e-09herei3.98heref3.08alphaq2.11hub0.743omegamh20.143hireionz7.7bhfeedback0.0526,1.48e-09,0.838,3.0,0.6404430627804519,0.2891358633294301,0.0008166332970090018,0.08167631256817853,0.00043442564345077194,0.0408946312208689,0.0003092508726122763,False
ns0.915Ap1.49e-09herei3.54heref2.33alphaq2.81hub0.721omegamh20.145hireionz6.56bhfeedback0.0317,1.49e-09,0.915,3.0,0.6404430627804519,0.3259801120844636,0.0008650657586975083,0.09224616173585491,0.00046202210858872116,0.04564982089771412,0.00032629204430193744,False
ns0.816Ap1.55e-09herei3.55heref3.15alphaq1.48hub0.658omegamh20.143hireionz7.38bhfeedback0.0533,1.55e-09,0.816,3.0,0.6404430627804519,0.3168198773388069,0.0008534442610273823,0.08868824071873795,0.0004531759468024661,0.04504892757037881,0.0003244370072454397,False
ns0.946Ap1.55e-09herei3.85heref3.17alphaq1.74hub0.655omegamh20.145hireionz6.58bhfeedback0.036,1.55e-09,0.946,3.0,0.6404430627804519,0.3587694603787194,0.0009070722905926723,0.10302157967340916,0.0004877555566315968,0.051708452115433304,0.0003468867085185279,True
ns0.81Ap1.6e-09herei3.59heref2.79alphaq1.71hub0.668omegamh20.145hireionz7.92bhfeedback0.0333,1.6e-09,0.81,3.0,0.6404430627804518,0.3465166580950099,0.0008940105927765827,0.09169270735541452,0.0004612696651605743,0.04577632475610051,0.0003262664023145939,False
ns0.998Ap1.61e-09herei3.79heref3.16alphaq2.77hub0.679omegamh20.141hireionz7.19bhfeedback0.065,1.61e-09,0.998,3.0,0.640443062780452,0.3529028439460509,0.0008987831540766108,0.10410363946210695,0.0004892674302741726,0.05230708644529742,0.00034899389842236203,True
