quantity,model,b0,b1,resid_rms,frac_rms_of_meanR,n_in_sample,flagged_z_count,flagged_z
dndx_LLS,G1_single_slope,29214507.502759416,0.0,0.0061357370819578715,0.005588512067575151,28,9,"[2.0, 2.2, 2.4, 2.6, 4.6, 4.8, 5.0, 5.2, 5.4]"
dndx_LLS,G2_with_z_drift,29047362.256979734,11295985.784406085,0.005610871656662313,0.005110457561011903,28,9,"[2.0, 2.2, 2.4, 2.6, 4.6, 4.8, 5.0, 5.2, 5.4]"
dndx_subDLA,G1_single_slope,18447908.85078897,0.0,0.007257199873326234,0.00576832289443162,28,6,"[2.0, 2.2, 4.8, 5.0, 5.2, 5.4]"
dndx_subDLA,G2_with_z_drift,18564712.318830304,-7893795.054771379,0.007046711025231133,0.005601017644103298,28,6,"[2.0, 2.2, 4.8, 5.0, 5.2, 5.4]"
dndx_DLA,G1_single_slope,-8429985.00910962,0.0,0.011863542183957377,0.010132266431947718,28,9,"[2.0, 2.2, 2.4, 2.6, 3.2, 4.8, 5.0, 5.2, 5.4]"
dndx_DLA,G2_with_z_drift,-7851158.977621972,-39118137.000121556,0.008173462742184723,0.00698068931616412,28,6,"[2.0, 2.2, 2.4, 5.0, 5.2, 5.4]"
omega_LLS,G1_single_slope,23646272.71799915,0.0,0.007351622493542053,0.006281310598651051,28,9,"[2.0, 2.2, 2.4, 2.6, 4.6, 4.8, 5.0, 5.2, 5.4]"
omega_LLS,G2_with_z_drift,23395833.85211472,16925123.150808983,0.006340748028844054,0.005417607858937335,28,9,"[2.0, 2.2, 2.4, 2.6, 4.6, 4.8, 5.0, 5.2, 5.4]"
omega_subDLA,G1_single_slope,13651501.408573376,0.0,0.008565998349759265,0.006769563732451317,28,3,"[2.2, 5.2, 5.4]"
omega_subDLA,G2_with_z_drift,13839101.75414108,-12678379.374760598,0.008099973542839978,0.006401272203252961,28,4,"[2.0, 2.2, 5.2, 5.4]"
omega_DLA,G1_single_slope,-30292526.24001897,0.0,0.014705468380781631,0.013811255211217828,28,10,"[2.2, 2.4, 2.6, 3.2, 3.6, 4.6, 4.8, 5.0, 5.2, 5.4]"
omega_DLA,G2_with_z_drift,-29934653.707629565,-24185689.635640148,0.013710838479463253,0.012877106971113533,28,9,"[2.2, 2.4, 2.6, 3.2, 3.6, 4.6, 5.0, 5.2, 5.4]"
