quantity,z,n_sims,in_flat_window,Ap_ref,flat_mean,lin_intercept,lin_slope,flat_rms,lin_resid_rms,flat_frac_spread,lin_frac_spread,loo_slope_min,loo_slope_max
dndx_LLS,2.2,3,0,1.8633333333333333e-09,1.275226748834288,1.275226748834288,53350817.85689458,0.027538735662120922,0.015353704357663258,0.021595167829795498,0.012039979848053222,12277347.04451916,158000871.87176624
dndx_LLS,2.4,3,0,1.8633333333333333e-09,1.2457101361813367,1.245710136181337,29129552.43298375,0.020031735308523996,0.015667204721013173,0.016080575028417362,0.012576926418083278,-77657303.8280431,71041683.91797397
dndx_LLS,2.6,3,1,1.8633333333333333e-09,1.2226215938760827,1.2226215938760832,19184718.936214723,0.008353579800653396,0.0014830727612201078,0.006832514526567459,0.0012130268013002417,15217276.008333081,29293266.095533434
dndx_LLS,2.8,3,1,1.8633333333333333e-09,1.193868430384606,1.193868430384606,14675073.921376262,0.006562114922553851,0.0018753334209863216,0.005496514318952096,0.0015708040963795153,9658274.669806434,27457249.429669745
dndx_LLS,3.0,3,1,1.8633333333333333e-09,1.1865886938675383,1.1865886938675387,24415239.965226904,0.010626970006896476,0.0018640174138815425,0.00895590027262032,0.001570904411541298,11710193.775509719,29401767.194052294
dndx_LLS,3.2,3,1,1.8633333333333333e-09,1.1501081968663147,1.1501081968663147,13105811.171877861,0.012443604114771767,0.01110422940275621,0.010819507372155679,0.009654943276651505,-16599674.334646769,88791663.89653125
dndx_LLS,3.4,3,1,1.8633333333333333e-09,1.1339518125051236,1.1339518125051238,39055846.11814894,0.01675067149208629,0.0007036795208851363,0.014771942958564304,0.0006205550475117361,37173397.45370544,43852089.30183683
dndx_LLS,3.6,3,1,1.8633333333333333e-09,1.102695409781222,1.1026954097812223,39070007.024832726,0.01675807537627117,0.0007349234249674162,0.015197374748840227,0.0006664790824813783,37103976.21288317,44079207.04119511
dndx_LLS,3.8,3,1,1.8633333333333333e-09,1.072291906361523,1.0722919063615233,36151935.50963209,0.015529350880664412,0.0010832317297739644,0.014482391211324403,0.0010102022810650152,28768684.12021135,39049743.478280835
dndx_LLS,4.0,3,1,1.8633333333333333e-09,1.0433172061924751,1.0433172061924751,36721402.184625946,0.015736828796487027,0.00020076276140558545,0.015083455638499109,0.00019242734636597947,36184331.570999905,38089790.77254237
dndx_LLS,4.2,3,1,1.8633333333333333e-09,1.01788171100704,1.0178817110070402,35028057.7601244,0.015107327779945537,0.0017127007606683997,0.014841928700142497,0.0016826127654596932,23354378.044792473,39609790.15935091
dndx_LLS,4.4,3,1,1.8633333333333333e-09,0.9934531465719827,0.9934531465719827,35372085.16986925,0.015157964275793773,0.00013645272917118934,0.015257855217528843,0.00013735195227075804,34442030.43222402,35737116.76474201
dndx_LLS,4.6,3,1,1.8633333333333333e-09,0.9730874315806899,0.9730874315806899,29241260.35037661,0.012683541009150215,0.001966161602653634,0.013034328260254049,0.0020205395104731625,23981482.037743982,42642516.04258837
dndx_LLS,4.8,3,0,1.8633333333333333e-09,0.9590777530353356,0.9590777530353358,22847373.844230894,0.010845533132649483,0.004666297399684094,0.011308293929584974,0.004865400521402953,10364325.741762606,54652615.338454604
dndx_LLS,5.0,3,0,1.8633333333333333e-09,0.9504679246534412,0.9504679246534414,19007712.300102327,0.011483146475318656,0.008094517041903504,0.012081571800022216,0.008516349507380715,-2646339.498475884,74179521.3910279
dndx_LLS,5.2,3,0,1.8633333333333333e-09,0.9548666336289183,0.9548666336289184,23170139.081222188,0.017055947116179446,0.013868192404246601,0.017862124945511242,0.01452369568254919,-13929363.596900646,117695020.52904548
dndx_LLS,5.4,3,0,1.8633333333333333e-09,0.9706964671145375,0.9706964671145376,18825834.208581097,0.024119416160847652,0.022730338993055856,0.02484753677176171,0.023416525930730295,-41981244.88049217,173754647.99757332
dndx_subDLA,2.2,3,0,1.8633333333333333e-09,1.3036292659597095,1.3036292659597095,-45737990.998594746,0.020389299572482786,0.005620719839279949,0.015640412581158596,0.004311593783637614,-84048526.42905746,-30701719.17224693
dndx_subDLA,2.4,3,0,1.8633333333333333e-09,1.2921886670905556,1.2921886670905556,32964982.529202156,0.014465346456552714,0.0031154136177021985,0.011194453894354573,0.002410958784150885,11730484.601118293,41299183.01361472
