z,strategy,rms,frac_rms_of_R,R_mean,n_sims,in_window
2.0,S1_flat,0.0,0.0,1.0740930320440747,1,0
2.0,S2_linear,0.0,0.0,1.0740930320440747,1,0
2.0,S3_extrap,0.0,0.0,1.0740930320440747,1,0
2.0,S4_none,0.07409303204407469,0.06898195019761968,1.0740930320440747,1,0
2.2,S1_flat,0.07756673257731733,0.07362512460225712,1.05353618070399,3,0
2.2,S2_linear,0.07646617260027026,0.07258049035314033,1.05353618070399,3,0
2.2,S3_extrap,0.07648882119516391,0.07260198804378303,1.05353618070399,3,0
2.2,S4_none,0.09424818643926976,0.0894588986742644,1.05353618070399,3,0
2.4,S1_flat,0.01895322548560035,0.016902260439251696,1.12134264844161,3,0
2.4,S2_linear,0.014481042725795335,0.012914021192291594,1.12134264844161,3,0
2.4,S3_extrap,0.03073460861281627,0.027408757399470896,1.12134264844161,3,0
2.4,S4_none,0.12281393686032621,0.10952400413112559,1.12134264844161,3,0
3.4,S1_flat,0.023586157150966923,0.02237672638502708,1.054048601441054,3,1
3.4,S2_linear,0.0006994952929624829,0.0006636271724151622,1.054048601441054,3,1
3.4,S3_extrap,0.008722556130082614,0.008275288367308184,1.054048601441054,3,1
3.4,S4_none,0.05897082437005607,0.05594696894377875,1.054048601441054,3,1
4.8,S1_flat,0.024894589351348067,0.022874083745150244,1.0883316520438207,3,0
4.8,S2_linear,0.002118147117828955,0.0019462331301779226,1.0883316520438207,3,0
4.8,S3_extrap,0.010146545731478225,0.009323027325745447,1.0883316520438207,3,0
4.8,S4_none,0.09177266113480016,0.08432416806260912,1.0883316520438207,3,0
5.0,S1_flat,0.038452980951950606,0.0346733736340344,1.1090060447480152,3,0
5.0,S2_linear,0.0024723142031136108,0.002229306336806633,1.1090060447480152,3,0
5.0,S3_extrap,0.023621836691499462,0.021300007158091498,1.1090060447480152,3,0
5.0,S4_none,0.11558957364614426,0.10422808260924146,1.1090060447480152,3,0
5.2,S1_flat,0.042430737839674396,0.03847794818140513,1.1027287016353822,3,0
5.2,S2_linear,0.007562533268543008,0.006858017985137711,1.1027287016353822,3,0
5.2,S3_extrap,0.027913987752922455,0.025313558730742307,1.1027287016353822,3,0
5.2,S4_none,0.11114654134659582,0.1007922811674004,1.1027287016353822,3,0
5.4,S1_flat,0.04473563400860263,0.039735319876238066,1.1258405405553253,3,0
5.4,S2_linear,0.009721130417466488,0.008634553533372943,1.1258405405553253,3,0
5.4,S3_extrap,0.03038249194295011,0.026986496620528364,1.1258405405553253,3,0
5.4,S4_none,0.13355567602093205,0.11862752424517878,1.1258405405553253,3,0
